Intent,Example,Response
Greeting,Selamlar. (69),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Selamlar. (70),Selam! Diyabet hakkinda size nasil yardimci olabilirim?
Greeting,Merhaba! (71),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Gunaydin. (72),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (73),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Gunaydin. (74),Gunaydin! Diyabet sorulariniz icin buradayim.
Greeting,Merhaba! (75),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Greeting,Merhaba! (76),Merhaba! Diyabet ile ilgili ne ogrenmek istersiniz?
Goodbye,Hosca kal. (1),"Hosca kalin, tekrar beklerim."
Goodbye,Hosca kal. (2),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (3),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (4),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (5),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (6),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (7),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Gorusuruz. (8),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Hosca kal. (9),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (10),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (11),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Hosca kal. (12),"Hosca kalin, tekrar beklerim."
Goodbye,Hosca kal. (13),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (14),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (15),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Hosca kal. (16),"Hosca kalin, tekrar beklerim."
Goodbye,Hosca kal. (17),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (18),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (19),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (20),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Hosca kal. (21),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (22),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Hosca kal. (23),"Hosca kalin, tekrar beklerim."
Goodbye,Hosca kal. (24),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (25),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (26),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (27),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Hosca kal. (28),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (29),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (30),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (31),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (32),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (33),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (34),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (35),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (36),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Hosca kal. (37),"Hosca kalin, tekrar beklerim."
Goodbye,Gorusuruz. (38),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Hosca kal. (39),"Hosca kalin, tekrar beklerim."
Goodbye,Gorusuruz. (40),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Gorusuruz. (41),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (42),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (43),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (44),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (45),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (46),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (47),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (48),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (49),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (50),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Gorusuruz. (51),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Hosca kal. (52),"Hosca kalin, tekrar beklerim."
Goodbye,Hosca kal. (53),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (54),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (55),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Hosca kal. (56),"Hosca kalin, tekrar beklerim."
Goodbye,Gorusuruz. (57),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Hosca kal. (58),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (59),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (60),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Hosca kal. (61),"Hosca kalin, tekrar beklerim."
Goodbye,Hosca kal. (62),"Hosca kalin, tekrar beklerim."
Goodbye,Kendine iyi bak. (63),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (64),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Hosca kal. (65),"Hosca kalin, tekrar beklerim."
Goodbye,Gorusuruz. (66),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (67),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (68),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (69),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (70),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (71),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (72),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Kendine iyi bak. (73),Tesekkurler! Siz de kendinize iyi bakin.
Goodbye,Gorusuruz. (74),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Gorusuruz. (75),Saglikli gunler! Kendinize dikkat edin.
Goodbye,Kendine iyi bak. (76),Tesekkurler! Siz de kendinize iyi bakin.
Refuse,Bunu ogrenmek istemiyorum. (1),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (2),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (3),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bunu ogrenmek istemiyorum. (4),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (5),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (6),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (7),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (8),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Paylasmak istemiyorum. (9),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Paylasmak istemiyorum. (10),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (11),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bu bilgi gizli. (12),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bu bilgi gizli. (13),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (14),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (15),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (16),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (17),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (18),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (19),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (20),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (21),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (22),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (23),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (24),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Paylasmak istemiyorum. (25),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (26),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bunu ogrenmek istemiyorum. (27),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bu bilgi gizli. (28),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bunu ogrenmek istemiyorum. (29),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (30),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (31),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Paylasmak istemiyorum. (32),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (33),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (34),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (35),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (36),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (37),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Paylasmak istemiyorum. (38),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Paylasmak istemiyorum. (39),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (40),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bunu ogrenmek istemiyorum. (41),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bu bilgi gizli. (42),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bu bilgi gizli. (43),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bunu ogrenmek istemiyorum. (44),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (45),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Paylasmak istemiyorum. (46),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (47),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (48),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bu bilgi gizli. (49),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (50),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (51),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bu bilgi gizli. (52),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bunu ogrenmek istemiyorum. (53),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (54),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (55),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (56),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (57),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Paylasmak istemiyorum. (58),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (59),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (60),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bunu ogrenmek istemiyorum. (61),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bu bilgi gizli. (62),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bu bilgi gizli. (63),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bu bilgi gizli. (64),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (65),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (66),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (67),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (68),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (69),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (70),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (71),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bu bilgi gizli. (72),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Bunu ogrenmek istemiyorum. (73),"Tamamdir, baska bir sorunuz var mi?"
Refuse,Bu bilgi gizli. (74),"Uzgunum, bu konuda bilgi paylasamam. Lutfen doktorunuza danisin."
Refuse,Paylasmak istemiyorum. (75),"Saygi duyarim, baska nasil yardimci olabilirim?"
Refuse,Bunu ogrenmek istemiyorum. (76),"Tamamdir, baska bir sorunuz var mi?"
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (1),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (2),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (3),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (4),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (5),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (6),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (7),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (8),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (9),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (10),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (11),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (12),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (13),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (14),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (15),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (16),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (17),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (18),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (19),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (20),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (21),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (22),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (23),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (24),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (25),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (26),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (27),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (28),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (29),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (30),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (31),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (32),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (33),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (34),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (35),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (36),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (37),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (38),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (39),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (40),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (41),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (42),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (43),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (44),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (45),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (46),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (47),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (48),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (49),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (50),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
